신고번호,신고일자,통관지세관부호,신고인부호,수입자부호,해외거래처부호,특송업체부호,수입통관계획코드,수입신고구분코드,수입거래구분코드,수입종류코드,징수형태코드,신고중량(KG),과세가격원화금액,운송수단유형코드,반입보세구역부호,HS10단위부호,적출국가코드,원산지국가코드,관세율구분코드,관세율
982834,2020-11-23,20,KWGEB,B7FVPTT,0TSA7K7,,F,B,15,21,11,3731.9,2755287.465,40,3012343,712909000,US,US,A,27.0,0,0
828961,2020-11-23,40,6KGOC,5O4D6XE,,,E,B,94,21,11,6406.5,851786.3884,40,4077106,9703001000,US,US,A,0.0,0,0
522066,2020-11-23,40,F8UY6,X71K5VO,,,C,B,11,21,11,5824.9,65329.26015,40,4002001,2106909099,US,US,A,8.0,0,0
999547,2020-11-23,16,IK9DK,VOA8M3S,,,C,B,11,21,11,3798.3,1028587.21,40,2011007,1207999000,US,US,A,3.0,0,0
919320,2020-11-23,10,R716N,205JY8P,,,C,B,11,21,11,3795.7,1677177.793,40,1011182,8711201000,VN,VN,FVN1,0.0,0,0
792304,2020-11-23,40,P15QT,IFZQ0YC,,,C,B,11,11,11,4207.7,228064.9488,10,3077013,5806103000,CN,CN,A,8.0,0,0
778082,2020-11-23,20,964CV,D4BNSRC,,,F,B,94,21,11,4196.3,403862.6085,40,2006099,3304991000,JP,JP,C,6.5,0,0
624568,2020-11-23,40,GLXVJ,GVOUVBL,YOJCGGQ,,D,B,11,21,11,40489.6,0.0,40,4077009,3915909000,JP,JP,C,6.5,0,0
649243,2020-11-23,40,MS6NT,3UX0X12,BH4PKJM,,D,B,11,21,11,2871.0,1078966.7340000002,40,1602003,3907202000,CN,CN,FCN1,3.9,0,0
834543,2020-11-23,40,FB5QA,X71K5VO,,,C,B,11,21,11,2597.5,29132.30326,40,4077063,2106909099,CN,CN,A,8.0,0,0
919935,2020-11-23,40,DRONU,1PE04TR,WD62ULK,V18W2M,C,B,11,21,11,39122.6,3545868.672,40,4002001,9503003493,CN,CN,A,8.0,0,0
566130,2020-11-23,20,3ZP28,2V9OE77,P8U0E8G,,B,B,11,21,11,4135.4,242011.8301,10,2002079,9025191000,DK,DK,FEU1,0.0,0,0
706025,2020-11-23,30,KWGEB,LEZW89N,2EQHV1M,,C,B,11,21,11,4684.4,531666.2336,40,4076001,8708999000,CN,CN,A,8.0,0,0
810143,2020-11-23,40,TJY4M,RBSWHTR,HUYNX0R,3G22A7,C,B,15,21,11,2110.4,6675.93535,40,1612033,7326909000,MY,MY,A,8.0,0,0
578525,2020-11-23,16,D15UX,GV81QBE,M5MUGVP,3G22A7,B,B,15,21,11,4560.4,4590.136919,40,3078052,3923900000,JP,JP,CIT,6.5,0,0
595967,2020-11-23,40,S2V7K,HHQ2DWG,,,D,B,11,21,11,5741.7,1771443.947,10,2012016,6204599000,HK,CN,A,13.0,0,0
735139,2020-11-23,122,GTGMT,LJJ19IW,6U6RGS0,Y7M94D,C,B,15,21,11,2145.6,24064.0115,40,4002001,2106909099,US,US,A,8.0,0,0
527587,2020-11-23,40,10UUA,RPD4YRM,MJS169B,,E,B,11,21,21,4270.8,236630.3667,10,4077106,4202399000,CN,CN,A,8.0,0,0
733081,2020-11-23,40,0M9XO,AR856YN,AET3OWB,5DQ2Y8,F,B,11,21,11,1190.8,630730.4723,40,2006099,3910009010,CN,CN,FCN1,2.6,0,0
822329,2020-11-23,40,ANQCJ,2BEX57Z,RIJBOR4,,D,B,11,21,11,4224.9,404.9951648,10,4077010,2101111000,VN,VN,A,8.0,0,0
963859,2020-11-23,10,6YZT1,WT477SP,,,B,B,11,21,14,3660.6,37440527.46,40,4002001,8607303000,CN,CN,FCN1,0.0,0,0
816394,2020-11-23,30,50NE6,AT8OSEN,,BQDJSK,D,B,94,21,11,32319.0,9825531.097000001,10,4077010,5402339000,IN,IN,FIN1,0.0,0,0
787545,2020-11-23,16,50NE6,GBA4IU9,XB75QGG,,C,B,11,21,11,2901.3,493934.093,40,2006093,6913109090,CN,CN,A,8.0,0,0
650933,2020-11-23,40,MZ43F,7UF4F8F,,,D,B,15,21,11,5214.7,1612851.574,10,3078052,8516710000,DE,DE,A,8.0,0,0
918960,2020-11-23,40,VV9JE,HIDTZX7,65T9976,3G22A7,C,B,11,11,11,4947.9,195886.4382,40,2077002,9401699000,CN,CN,C,0.0,0,0
